level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
1,1,0,0,0,0,0,0,4200,5223,-1.0,
2,1,1,0,0,0,48,85,4137,5138,-1.0,
3,1,1,1,0,0,48,85,4137,5138,-1.0,
4,1,1,1,1,0,163,85,4002,61,-1.0,
5,1,1,1,1,1,163,85,32,50,97.020866,7
5,1,1,1,1,2,369,86,61,51,96.140663,11
5,1,1,1,1,3,641,86,32,52,97.00885,6
5,1,1,1,1,4,880,88,27,50,96.526581,1
5,1,1,1,1,5,1101,89,34,52,96.921692,8
5,1,1,1,1,6,1309,92,24,50,96.680832,1
5,1,1,1,1,7,1494,90,32,52,92.8778,2
5,1,1,1,1,8,1649,120,64,5,92.529549,-
5,1,1,1,1,9,1820,122,64,5,91.1819,-
5,1,1,1,1,10,2078,92,26,52,96.605553,1
5,1,1,1,1,11,2263,92,31,52,93.236198,3
5,1,1,1,1,12,2421,124,63,5,93.038292,-
5,1,1,1,1,13,2691,93,34,53,96.489532,5
5,1,1,1,1,14,2882,92,64,52,96.9692,16
5,1,1,1,1,15,3137,89,32,52,97.023903,7
5,1,1,1,1,16,3360,87,31,52,96.940216,2
5,1,1,1,1,17,3553,88,22,49,92.75032,1
5,1,1,1,1,18,3657,115,64,5,92.75032,-
5,1,1,1,1,19,3793,116,66,5,91.861084,-
5,1,1,1,1,20,3950,119,66,4,91.614006,-
5,1,1,1,1,21,4109,118,56,8,91.614006,-
4,1,1,1,2,0,162,153,4004,89,-1.0,
5,1,1,1,2,1,162,155,32,50,97.003723,4
5,1,1,1,2,2,368,154,66,52,96.592545,10
5,1,1,1,2,3,638,154,32,53,97.023956,7
5,1,1,1,2,4,846,189,64,5,87.488983,-
5,1,1,1,2,5,1102,158,26,52,96.689972,1
5,1,1,1,2,6,1305,160,34,53,93.303864,3
5,1,1,1,2,7,1461,190,65,6,92.157532,-
5,1,1,1,2,8,1649,189,64,6,92.879906,-
5,1,1,1,2,9,1819,193,64,5,92.879906,-
5,1,1,1,2,10,2077,163,28,51,96.957977,1
5,1,1,1,2,11,2265,162,23,52,93.172104,1
5,1,1,1,2,12,2420,194,63,5,91.539032,-
5,1,1,1,2,13,2691,163,33,53,96.925789,3
5,1,1,1,2,14,2882,161,66,54,96.465126,10
5,1,1,1,2,15,3105,159,66,54,96.594185,10
5,1,1,1,2,16,3361,157,29,53,97.00193,1
5,1,1,1,2,17,3552,155,27,54,95.824585,1
5,1,1,1,2,18,3689,153,30,89,93.280098,1
5,1,1,1,2,19,3793,188,66,5,91.456039,-
5,1,1,1,2,20,3950,190,66,5,92.684128,-
5,1,1,1,2,21,4106,187,60,8,92.684128,-
4,1,1,1,3,0,131,222,4034,63,-1.0,
5,1,1,1,3,1,131,222,63,53,96.888611,12
5,1,1,1,3,2,402,223,31,52,97.018921,6
5,1,1,1,3,3,595,225,77,53,89.265396,?6
5,1,1,1,3,4,880,228,32,52,96.958481,1
5,1,1,1,3,5,1101,228,32,53,93.177437,7
5,1,1,1,3,6,1274,260,64,6,90.950356,-
5,1,1,1,3,7,1494,228,32,52,96.926064,2
5,1,1,1,3,8,1682,227,29,52,93.293938,1
5,1,1,1,3,9,1820,262,64,6,92.38118,-
5,1,1,1,3,10,2075,231,31,52,96.938797,2
5,1,1,1,3,11,2263,231,31,53,97.020203,8
5,1,1,1,3,12,2455,231,28,53,96.987839,1
5,1,1,1,3,13,2692,232,32,53,94.377304,9
5,1,1,1,3,14,2914,231,32,54,97.01709,4
5,1,1,1,3,15,3137,231,33,53,96.513748,3
5,1,1,1,3,16,3327,227,64,55,96.095337,11
5,1,1,1,3,17,3550,227,32,54,96.012482,5
5,1,1,1,3,18,3689,225,33,53,92.828201,3
5,1,1,1,3,19,3794,259,65,5,92.409714,-
5,1,1,1,3,20,3951,261,65,5,93.086586,-
5,1,1,1,3,21,4107,256,58,9,92.641441,-
4,1,1,1,4,0,95,429,3922,95,-1.0,
5,1,1,1,4,1,95,429,102,54,96.133728,208
5,1,1,1,4,2,334,430,100,53,96.109978,431
5,1,1,1,4,3,573,433,100,52,94.800797,362
5,1,1,1,4,4,847,467,64,5,91.822563,-
5,1,1,1,4,5,1069,436,67,54,95.799683,53
5,1,1,1,4,6,1276,438,65,52,96.680626,10
5,1,1,1,4,7,1462,437,67,53,96.703766,18
5,1,1,1,4,8,1651,435,64,54,93.289291,17
5,1,1,1,4,9,1821,471,64,4,92.280296,-
5,1,1,1,4,10,2042,440,63,52,95.548492,27
5,1,1,1,4,11,2229,439,66,54,96.57856,40
5,1,1,1,4,12,2419,441,67,53,96.253342,47
5,1,1,1,4,13,2627,442,100,53,96.303024,163
5,1,1,1,4,14,2847,442,101,54,96.617203,427
5,1,1,1,4,15,3070,442,102,53,92.604927,325
5,1,1,1,4,16,3327,441,65,83,82.665642,73
5,1,1,1,4,17,3517,439,65,53,96.286201,81
5,1,1,1,4,18,3660,437,64,53,93.289085,17
5,1,1,1,4,19,3796,472,64,4,93.080803,-
5,1,1,1,4,20,3954,473,63,32,92.34079,-
5,1,1,1,4,21,4108,464,58,10,89.610847,-
4,1,1,1,5,0,165,499,4002,66,-1.0,
5,1,1,1,5,1,165,499,32,52,96.994141,7
5,1,1,1,5,2,403,500,34,52,96.971657,8
5,1,1,1,5,3,641,501,32,53,97.011818,4
5,1,1,1,5,4,882,504,29,53,97.002769,1
5,1,1,1,5,5,1103,506,32,51,93.111252,2
5,1,1,1,5,6,1275,539,64,4,92.571167,-
5,1,1,1,5,7,1496,507,32,52,96.918495,2
5,1,1,1,5,8,1684,510,32,48,93.298447,2
5,1,1,1,5,9,1821,541,64,4,92.852028,-
5,1,1,1,5,10,2044,542,63,4,91.319115,-
5,1,1,1,5,11,2233,543,62,4,92.77449,-
5,1,1,1,5,12,2422,543,63,5,92.70533,-
5,1,1,1,5,13,2695,513,30,51,97.017746,6
5,1,1,1,5,14,2917,514,32,51,97.013176,8
5,1,1,1,5,15,3139,511,33,53,97.016563,4
5,1,1,1,5,16,3363,514,31,48,97.015068,6
5,1,1,1,5,17,3552,510,33,52,96.770699,2
5,1,1,1,5,18,3695,507,26,52,93.227249,1
5,1,1,1,5,19,3798,542,63,4,92.192383,-
5,1,1,1,5,20,3955,543,63,5,93.015747,-
5,1,1,1,5,21,4109,533,58,10,92.905128,-
4,1,1,1,6,0,165,569,4003,66,-1.0,
5,1,1,1,6,1,165,569,33,51,91.310532,9
5,1,1,1,6,2,370,569,67,52,96.511894,42
5,1,1,1,6,3,643,571,32,53,97.00544,7
5,1,1,1,6,4,881,574,33,53,96.564133,5
5,1,1,1,6,5,1103,576,32,52,96.866119,5
5,1,1,1,6,6,1309,577,32,51,96.778633,2
5,1,1,1,6,7,1499,577,28,52,97.005371,1
5,1,1,1,6,8,1683,575,34,53,93.30056,4
5,1,1,1,6,9,1823,610,63,5,87.231567,-
5,1,1,1,6,10,2045,611,63,5,92.598816,-
5,1,1,1,6,11,2233,612,62,4,92.931267,-
5,1,1,1,6,12,2422,613,63,4,93.231834,-
5,1,1,1,6,13,2662,583,65,51,95.960205,13
5,1,1,1,6,14,2882,583,59,52,64.611557,43
5,1,1,1,6,15,3141,581,32,52,96.627251,9
5,1,1,1,6,16,3363,582,31,52,96.529808,5
5,1,1,1,6,17,3522,580,63,53,93.292488,14
5,1,1,1,6,18,3660,612,64,5,92.636536,-
5,1,1,1,6,19,3798,613,62,5,92.834747,-
5,1,1,1,6,20,3989,581,32,51,93.277023,2
5,1,1,1,6,21,4109,602,59,11,92.684486,-
4,1,1,1,7,0,130,636,4037,70,-1.0,
5,1,1,1,7,1,130,636,62,54,96.932632,41
5,1,1,1,7,2,370,638,68,53,96.293045,80
5,1,1,1,7,3,608,641,68,54,95.437782,38
5,1,1,1,7,4,854,643,60,53,96.558197,18
5,1,1,1,7,5,1070,644,67,53,93.232834,22
5,1,1,1,7,6,1276,677,62,5,90.41436,-
5,1,1,1,7,7,1496,646,34,53,96.521797,5
5,1,1,1,7,8,1686,645,27,51,93.277977,1
