2031	2460	424	607	1058	988	1187	1319	4735	548	2465	24	728	1860	4848	8384	7070	9322	7202	23594	90	210	213
19	25	23	44	13	17	12	16	78	16	44	6	29	72	66	154	91	177	194	462	7	7	22
7	12	1	1	3	3	7	9	24	3	13	-	3	9	20	41	32	46	34	112	1	3	4
9	19	-	-	7	5	-	-	-	7	10	-	2	9	23	36	34	46	9	89	1	2	-
-	5	-	-	-	-	1	1	2	4	7	-	6	16	5	19	6	20	18	44	-	-	-
1	-	-	-	1	1	-	1	3	1	2	-	2	3	3	6	4	6	6	16	-	-	-
-	5	-	-	1	1	1	1	2	1	9	-	3	5	3	19	4	20	7	31	-	-	-
19	12	6	12	16	16	9	9	26	2	4	-	9	17	46	56	53	61	55	169	7	11	15
138	244	26	33	112	116	64	89	240	65	268	3	61	129	382	804	472	890	402	1764	28	38	40
715	23	1	3	16	4	1	3	16	9	16	-	2	5	41	49	55	66	24	145	4	4	3
37	50	4	5	35	34	17	20	67	26	72	-	15	31	115	195	152	230	103	4855	6	4	-
61	60	8	10	31	19	11	28	85	33	120	2	49	156	138	284	181	335	251	767	21	32	55
4	11	1	2	1	1	1	1	5	3	7	-	3	7	9	24	11	27	14	52	1	1	4
5	10	3	3	7	8	-	1	2	4	9	-	3	5	16	34	23	43	10	76	-	-	-
2	6	-	-	2	1	2	2	8	2	6	-	5	9	8	20	8	22	17	47	-	-	-
2	5	-	-	-	-	1	1	3	1	2	-	1	3	4	9	7	14	6	27	-	-	-
35	82	27	60	36	36	55	55	165	58	89	25	101	209	209	390	261	426	434	1121	16	29	12
149	267	97	183	163	151	187	225	792	125	476	6	114	279	630	1330	735	1424	1254	3413	16	45	46
8	11	-	-	10	7	4	4	19	5	32	-	6	15	27	60	30	63	34	127	-	-	-
7	10	1	6	1	3	2	4	16	1	10	-	-	-	11	28	29	42	22	93	-	-	-
15	24	-	-	6	5	2	5	12	10	24	-	6	12	33	64	42	72	24	138	1	-	-
5	10	1	2	5	7	1	1	2	5	22	1	1	3	17	42	21	48	7	76	-	-	-
74	200	28	54	94	92	91	83	275	70	217	10	90	288	339	710	435	793	617	1845	6	11	2
13	33	6	10	13	13	1	1	2	11	47	-	3	13	38	103	43	109	25	177	1	2	3
6	14	1	1	3	3	2	3	8	2	10	-	1	3	13	32	20	35	12	67	-	-	-
2	7	3	7	2	2	-	1	3	-	5	-	2	6	4	20	4	20	16	40	1	2	-
1	8	-	-	5	5	-	-	-	2	6	1	3	10	9	22	11	25	10	46	-	-	-
19	77	7	11	34	33	13	13	88	9	76	3	30	65	78	236	98	255	164	517	-	4	4
49	87	15	31	40	36	15	11	36	48	127	-	32	68	152	308	179	327	135	641	14	14	21
16	19	12	17	11	15	6	12	22	20	65	-	16	23	53	139	67	152	62	281	-	4	1
23	61	3	3	36	36	7	13	44	31	87	2	24	48	99	224	115	2241	95	451	-	-	-
11	49	4	6	14	14	10	15	54	11	34	1	4	13	47	120	55	130	73	258	2	2	-
1	5	1	1	1	1	2	3	6	3	31	-	3	9	7	44	1)	44	16	69	1	2	1
1	12	1	1	7	7	2	2	6	3	20	-	3	6	13	45	13	45	13	71	-	-	-
3	3	3	5	1	1	1	1	2	2	4	-	-	-	7	12	7	12	7	26	-	-	-
-	-	-	-	-	-	-	1	3	-	-	-	-	-	-	1	-	1	3	4	-	-	-
27	45	15	22	20	16	14	19	66	23	58	-	19	46	84	172	124	206	134	464	6	5	5
96	212	16	42	67	56	13	23	101	38	273	16	67	204	230	647	335	734	347	1416	11	9	16
8	22	3	6	3	3	-	3	8	1	21	-	2	2	12	54	20	63	16	99	2	5	2
33	91	2	3	42	40	7	14	37	21	127	2	25	56	105	299	132	321	96	549	4	3	2
6	13	1	1	4	4	2	5	7	8	12	-	-	-	20	35	27	38	8	73	-	-	-
56	130	16	37	10	11	25	27	91	40	104	2	17	41	133	305	173	3351	169	693	6	3	-
5	7	2	2	-	-	-	-	-	3	10	-	-	-	8	19	9	20	2	31	-	-	-
6	7	1	2	4	3	1	-	3	2	7	-	3	10	13	21	20	28	15	63	-	-	-
210	415	148	265	129	129	221	221	836	193	680	12	271	735	765	1864	929	2026	1836	4791	39	38	39
44	105	14	26	24	24	28	28	102	23	146	9	58	179	128	375	189	422	3907	918	-	-	-
69	65	14	30	55	56	18	31	76	27	131	-	40	112	169	337	213	361	218	792	4	5	1
74	135	12	22	78	71	74	96	347	56	120	1	47	125	283	481	391	578	494	1463	15	15	11
36	53	2	5	31	22	9	13	27	13	65	-	17	35	89	172	137	213	67	417	9	4	4
-93	-7	8	16	2	2	3	3	10	7	11	-	4	12	21	35	29	40	38	107	-	-	-
