7	11	6	1	8	1	2	-	-	1	3	-	5	16	7	2	1	-	-	-	-
4	10	7	-	1	3	-	-	-	1	1	-	3	10	10	1	1	1	-	-	-
12	6	?6	1	7	-	2	1	-	2	8	1	9	4	3	11	5	3	-	-	-
208	431	362	-	53	10	18	17	-	27	40	47	163	427	325	73	81	17	-	-	-
7	8	4	1	2	-	2	2	-	-	-	-	6	8	4	6	2	1	-	-	-
9	42	7	5	5	2	1	4	-	-	-	-	13	43	9	5	14	-	-	2	-
41	80	38	18	22	-	5	1	-	9	11	15	45	90	23	28	30	3	-	-	-
8	12	5	-	-	-	-	-	1	-	3	-	8	9	4	-	-	-	-	-	-
1783	3997	2168	1738	1531	1374	155	224	14	1456	1063	1027	1910	4241	2501	2164	1054	-	-	-	-
12	27	6	1	1	1	-	-	-	4	4	3	9	24	4	11	13	1	-	-	-
16	35	20	4	11	1	1	5	-	1	6	7	18	35	14	3	9	6	1	2	-
134	329	153	36	53	44	5	16	4	21	35	54	144	331	139	=	3	5	>	-	6
21	50	31	19	25	5	3	3	-	21	28	19	16	44	17	10	22	12	1	5
26	62	3266	6	5	-	3	4	-	4	5	3	25	58	59	4	10	16	-	-	-
83	209	86	22	27	17	15	16	1	26	21	11	64	199	91	35	44	3	-	-	-
31	67	20	16	24	34	12	5	-	12	15	36	23	71	18	10	7	1	-	-	-
138	262	159	82	112	174	7	15	-	70	119	164	143	240	169	42	53	8	-	-	-
11	29	9	4	20	6	-	3	-	2	7	-	13	39	15	3	8	6	-	-	7
32	76	37	4	5	3	4	7	-	5	3	15	27	71	25	5	16	8	3	6
40	85	15	16	23	5	3	11	-	19	21	3	34	76	17	9	8	-	-	-	94
65	168	47	18	26	7	11	11	-	10	22	13	62	161	41	16	18	-	18	32	7
63	122	90	20	13	5	6	10	3	12	16	22	65	109	70	26	13	-	3	2	7
32	85	518	16	13	-	4	5	-	7	16	-	37	77	12	16	13	-	-	-	-
21	46	23	2	8	-	1	1	-	1	1	-	21	52	23	1	6	-	-	-	”
33	65	29	1	12	10	9	5	1	2	10	2	23	62	36	11	13	-	-	-	-
7	13	-	3	4	-	1	2	-	-	-	-	9	15	-	-	-	-	-	-	”
24	42	8225	1	-	-	2	3	1	-	-	-	23	39	18	2	7	-	-	-	”
710	37213	1	-	-	5	1	1	-	1	1	3	7	8	3	-	-	-	1	1	-”
67	297	130	29	87	65	11	12	6	18	47	39	67	325	150	38	75	14	-	-	-
119	206	68	9	13	3	9	7	1	22	17	15	97	195	55	30	27	1	-	-	-
15	34	27	10	14	10	3	2	-	4	10	2	18	36	35	14	26	22	-	-	5
24	60	50	7	2	6	-	-	2	1	2	8	30	60	46	9	32	26	1	1	1
17	18	9	-	-	-	-	1	-	-	-	1	17	17	8	4	3	4	2	2
186	383	194	47	62	40	60	27	6	23	9	30	150	409	198	60	74	40	-	-
12	52	25	17	11	-	3	1	1	16	20	5	10	42	19	4	7	-	-	-	7”
16	23	5	-	-	-	1	2	-	-	-	-	15	21	5	6	9	-	-	-	”
12	25	6	5	7	4	2	2	-	-	-	-	15	30	10	10	11	2	-	-	-
109	194	168	78	55	48	5	11	-	80	106	98	102	132	118	50	32	-	-	-	-
46	57	65	59	78	88	11	10	2	51	71	98	43	54	53	30	31	34	-	-	-
56	101	69	31	24	24	10	3	-	7	16	9	70	106	84	19	16	1	-	-	-
74	93	37	24	34	29	4	5	-	22	27	26	72	95	40	35	35	11	-	-	-
103	186	89	49	50	65	14	11	4	34	35	44	104	190	106	39	47	-	-	-	-
8	10	6	1	3	1	3	1	-	-	-	-	6	12	7	7	6	-	-	-	-
14	45	27	3	2	-	-	3	-	1	1	1	16	43	26	9	17	4	-	-	-
1	3	-	9	10	27	1	-	-	6	7	10	3	6	17	-	-	-	-	-	-
220	519	221	190	253	200	31	40	8	144	174	160	235	558	253	221	178	66	-	-	-
102	205	146	48	39	46	1	16	-	37	49	73	112	179	119	54	70	7	15	47	98
58	48	18	30	57	40	2	1	-	44	66	22	42	38	36	28	45	31	-	-	-
161	237	177	7	20	33	11	16	5	16	23	36	141	218	169	17	36	2	-	-	-
230	401	475	136	161	262	24	19	3	104	116	218	238	427	516	126	63	17	-	1	1
24	741	28	3	-	13	3	-	-	4	14	23	20	24	18	3	13	5	-	-	-
36	40	32	25	29	9	6	3	1	20	27	7	35	39	33	47	40	17	-	-	-
9	58	28	16	41	51	-	3	2	19	30	53	16	66	24	9	27	31	-	-	-
4	?24	23	-	-	5	1	1	-	3	5	1	1	17	27	1	6	20	-	-	-
